Business name,features
Summit Inn Hotel & Suites,"29.891854, -97.915345, Hotel, 2.1, Texas"
Acra Manor Resort,"42.3099546, -74.0538134, Resort hotel, 4.0, New York"
Luxe Touch,"32.5239556, -96.82124119999999, Resort hotel, 4.7, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Rodeway Inn Near Florida Mall,"28.468061, -81.39614399999999, Hotel, 2.7, Florida"
DEFY Sparks,"39.5318234, -119.72128079999999, Group accommodation, 4.7, Nevada"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Arcadia Resorts,"27.88141, -82.8491339, Hotel, 4.4, Florida"
Galleria Scola,"37.815909, -122.24544979999999, Pet friendly accommodation, 4.7, California"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Desert Star Motel,"36.1564854, -115.1496189, Motel, 3.0, Nevada"
CSUB Student Housing East,"35.351124399999996, -119.09803199999999, Lodging, 4.2, California"
AREA 118,"29.416531, -103.50752, Hotel, 4.7, Texas"
Winters Creek Lodge,"39.3182812, -119.8698015, Ski resort, 4.6, Nevada"
Dinosaur Trail Cabins & Cottages,"32.4127813, -97.78865049999999, Cabin rental agency, 4.7, Texas"
Paul Smith's College VIC,"44.4484808, -74.2594, Ski resort, 4.8, New York"
El Rinconcito Tepeyac,"40.809470499999996, -73.9233512, Self-catering accommodation, 4.0, New York"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
איחוד התלמידים באנגעלא קאלני,"41.639719799999995, -74.7079838, Indoor lodging, 4.6, New York"
Anglers Riverside Retreat,"29.164261399999997, -81.52430869999999, Motel, 4.5, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Amco Hotel and Suites/ Fort Hood,"31.118394799999997, -97.7433471, Indoor lodging, 2.6, Texas"
Dayton Inn,"39.236789699999996, -119.589011, Inn, 4.1, Nevada"
Wilderness Inn II Restaurant,"44.3784626, -73.8339574, Inn, 4.3, New York"
The Castaways On the River,"29.1658458, -81.52429, Hotel, 4.5, Florida"
Grandview Motel,"27.4712875, -80.3349315, Hotel, 3.4, Florida"
Villa Motel,"29.975277799999997, -93.9891667, Motel, 2.5, Texas"
Mentone Beach Moose Lodge,"34.070712, -117.11845299999999, Lodge, 4.5, California"
"Scottish Inns Vallejo, CA","38.1076098, -122.2292136, Motel, 3.4, California"
Winters Creek Lodge,"39.3182812, -119.8698015, Ski resort, 4.6, Nevada"
Seapointe Terrace,"27.697606999999998, -82.67803599999999, Lodging, 4.7, Florida"
Medley at Southshore Bay,"27.703329, -82.3199844, Lodging, 4.4, Florida"
Deep Well Motel,"42.097294999999995, -76.287369, Hotel, 2.8, New York"
West Express Inn,"26.7543576, -80.93867829999999, Hotel, 3.6, Florida"
Resort Rentals / Resort Realty,"27.7466314, -82.7534337, Indoor lodging, 4.6, Florida"
Maderia Beach,"27.7925734, -82.7912987, Hotel, 4.8, Florida"
Vintage Ranch,"35.6639, -120.73191899999999, Self-catering accommodation, 4.9, California"
Golden Inn Motel,"32.6639414, -96.578049, Inn, 2.8, Texas"
Club at Ibis,"26.7973888, -80.20534789999999, Resort hotel, 4.9, Florida"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Kadampa Meditation Center New York,"41.4771667, -74.79059769999999, Retreat center, 4.8, New York"
Econo Lodge Inn & Suites Six Flags,"32.7612885, -97.0940296, Lodge, 2.5, Texas"
Santa Barbara Beach Club,"34.4181901, -119.80506849999999, Lodging, 4.6, California"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Motel, 3.7, Florida"
Resort Rentals / Resort Realty,"27.7466314, -82.7534337, Indoor lodging, 4.6, Florida"
The Castaways On the River,"29.1658458, -81.52429, Resort hotel, 4.5, Florida"
Palace Inn Brenham,"30.142139099999998, -96.39869999999999, Extended stay hotel, 3.7, Texas"
The Castaways On the River,"29.1658458, -81.52429, Resort hotel, 4.5, Florida"
Great Western Inn,"31.0727691, -97.35919179999999, Hotel, 2.8, Texas"
Historic Carson Hot Springs,"39.193320199999995, -119.7519016, Resort hotel, 4.3, Nevada"
Oceanside Village,"28.3933464, -80.6012169, Lodging, 3.7, Florida"
Days Inn & Suites Plano Medical Center/Dallas,"33.0115298, -96.7979364, Motel, 2.5, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Flamingo Motel,"31.7161154, -106.35044909999999, Motel, 3.4, Texas"
Gonzalo,"25.764454999999998, -80.35815699999999, Hotel, 3.5, Florida"
Crystal Spa & Nails,"33.224609, -97.5938449, Resort hotel, 4.3, Texas"
Harbor Island Apartments,"36.109714, -115.1578794, Extended stay hotel, 2.4, Nevada"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
A Place To Be Motel,"27.127169199999997, -82.4710487, Motel, 4.0, Florida"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Motel, 2.9, Nevada"
Nautilus Condominium,"30.397263799999998, -86.61713379999999, Resort hotel, 4.4, Florida"
Rainbow Inn Motel,"25.8471251, -80.3128626, Motel, 3.3, Florida"
Motel 6 Tyler Northwest,"32.382036899999996, -95.3324844, Motel, 2.9, Texas"
Bonnie Springs Motel,"36.0590858, -115.4513053, Motel, 4.0, Nevada"
"Bedrock RV, Inn and Event Center","32.6895506, -95.72062539999999, Inn, 4.5, Texas"
Menla Retreat and Dewa Spa,"42.0677379, -74.3709188, Resort hotel, 4.3, New York"
Howard Johnson by Wyndham Willowbrook,"29.9692671, -95.56111779999999, Hotel, 3.9, Texas"
Tallows,"30.221250299999998, -97.7644931, Motel, 3.3, Texas"
Econo Lodge Oceanfront,"29.207998, -80.998274, Motel, 2.3, Florida"
Bonita Village Resort,"26.3307488, -81.8188626, Indoor lodging, 4.7, Florida"
Magnuson Hotel Pensacola,"30.4948639, -87.26289539999999, Indoor lodging, 2.2, Florida"
Byblos Niagara Resort and Spa,"43.021336399999996, -78.8963582, Hotel, 3.8, New York"
Recharge Bar & Grill,"39.5540812, -119.4900325, Hotel, 3.6, Nevada"
Staybridge Suites Jacksonville,"30.2704964, -81.5609952, Hotel, 4.6, Florida"
Stephenville Masonic Lodge #267,"32.2190377, -98.2032825, Lodge, 4.9, Texas"
Econo Lodge,"31.418371999999998, -103.517089, Hotel, 2.6, Texas"
Hacienda Cerro Azul,"26.253520899999998, -98.3511352, Hotel, 4.2, Texas"
La Quinta Inn,"29.0109912, -95.4125272, Hotel, 3.6, Texas"
Holiday Inn Express Melbourne,"28.0794926, -80.7018204, Hotel, 3.9, Florida"
The Castaways On the River,"29.1658458, -81.52429, Lodge, 4.5, Florida"
Galaxy Inn Dallas,"32.7651082, -96.8477592, Hotel, 2.7, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Stanley RV Park Midland TX,"32.0428427, -101.98473419999999, Hotel, 4.2, Texas"
Tallows,"30.221250299999998, -97.7644931, Hotel, 3.3, Texas"
Rodeway Inn,"32.309959, -95.34152669999999, Hotel, 4.2, Texas"
"Water Crest, Conroe, TX","30.3744563, -95.537615, Lodge, 4.4, Texas"
Ramada Clearwater Airport,"27.8931409, -82.6823043, Hotel, 2.8, Florida"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
La Siesta Condominiums,"27.2674088, -82.5509471, Hotel, 4.5, Florida"
Budget Motel Albany,"42.6955743, -73.8083578, Motel, 2.4, New York"
Market Street Manor Motel,"40.5778974, -122.3874434, Hotel, 2.9, California"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
Baymont Inn & Suites Austin South,"30.211661199999998, -97.75266889999999, Hotel, 2.9, Texas"
Arcadia Resorts,"27.88141, -82.8491339, Hotel, 4.4, Florida"
Buffalo Airport Inn,"42.950626299999996, -78.693213, Hotel, 2.4, New York"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Star Motel,"28.378304699999997, -82.6792076, Motel, 2.6, Florida"
Mobile Homes For Sale Orange City Fl,"28.9380229, -81.2661741, Lodging, 3.9, Florida"
Studio 6,"29.4273039, -98.41566859999999, Motel, 3.2, Texas"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Hotel, 3.6, Texas"
Rodeway Inn & Suites,"34.068798699999995, -118.0997263, Motel, 3.3, California"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Jackie Robinson Training Complex,"27.6430103, -80.4282588, Hotel, 4.4, Florida"
The Castaways On the River,"29.1658458, -81.52429, Lodge, 4.5, Florida"
LakeSide,"28.318188499999998, -81.3452269, Lodging, 4.1, Florida"
Apopka Golf & Tennis at Errol Estate,"28.703944, -81.53435499999999, Resort hotel, 3.7, Florida"
Bolivar Peninsula Tourism and Visitors Center,"29.4639289, -94.62412669999999, Resort hotel, 4.6, Texas"
St Bernard's Park,"43.209758699999995, -77.6292266, Lodging, 4.0, New York"
Order Sons of Italy In America,"40.770954599999996, -73.3326929, Lodge, 4.6, New York"
Grand Eagle Ford Lodge,"28.930455199999997, -98.5256294, Extended stay hotel, 3.3, Texas"
DEFY Sparks,"39.5318234, -119.72128079999999, Group accommodation, 4.7, Nevada"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
Harbor Inn Bayfront,"27.795128799999997, -97.3919966, Hotel, 2.6, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Lake Las Vegas,"36.0872257, -114.9312035, Resort hotel, 4.7, Nevada"
Desert Star Motel,"36.1564854, -115.1496189, Motel, 3.0, Nevada"
Anglers Riverside Retreat,"29.164261399999997, -81.52430869999999, Motel, 4.5, Florida"
Cowboy Inn,"32.8016034, -97.3512387, Inn, 3.1, Texas"
Maple Ski Ridge,"42.8177282, -74.03164819999999, Ski resort, 4.5, New York"
Walker's Waterfront-Campground,"30.834576499999997, -95.0798299, Cabin rental agency, 4.4, Texas"
The Castaways On the River,"29.1658458, -81.52429, Motel, 4.5, Florida"
Catfish Cabins,"30.837275199999997, -95.1347187, Cabin rental agency, 4.8, Texas"
Daddy Joes Lodging in Auberry,"37.0744355, -119.48600859999999, Lodge, 4.6, California"
Mentone Beach Moose Lodge,"34.070712, -117.11845299999999, Lodge, 4.5, California"
Legion RV Park,"31.3054869, -95.450643, Lodging, 4.2, Texas"
Best Western Plus Fort Pierce Inn - CLOSED,"27.411884999999998, -80.39132099999999, Hotel, 3.4, Florida"
Market Street Manor Motel,"40.5778974, -122.3874434, Hotel, 2.9, California"
Executive Inn & Suites Waco,"31.5541722, -97.1224046, Hotel, 2.2, Texas"
Peterson Automotive and Tire Corp.,"37.7065354, -121.72707779999999, Serviced accommodation, 4.4, California"
Alamo Inn & Suites,"29.493514599999997, -98.40042679999999, Hotel, 4.0, Texas"
Village Pet Inn,"27.623753899999997, -80.3931186, Inn, 4.4, Florida"
Valley Motel,"32.775951299999996, -97.36727139999999, Motel, 2.8, Texas"
Tribeca blu,"40.7190192, -74.0016845, Lodging, 3.6, New York"
Buffalo Airport Inn,"42.950626299999996, -78.693213, Lodge, 2.4, New York"
Villagio Resorts (now The Belle Manor),"32.5194511, -97.2439804, Resort hotel, 4.5, Texas"
Days Inn by Wyndham Mt. Pleasant,"33.1659363, -94.9991546, Lodge, 3.6, Texas"
Wingate by Wyndham Miramar,"25.9832592, -80.3473305, Inn, 3.5, Florida"
Marine Manor BLDG 1341,"33.3026809, -117.31960289999999, Hotel, 3.2, California"
